Bid Price,Bid Size,Bid Amount,Ask Price,Ask Size,Ask Amount,Spread,Diff Size
1284.01,10.0,1,1286.43,20.20330323,2,-2.4200000000000728,-10.20330323
1283.99,0.29060791,1,1286.44,1.59765,1,-2.4500000000000455,-1.30704209
1283.98,8.4711905,2,1286.46,38.86645297,1,-2.480000000000018,-30.39526247
1283.96,57.87472152,3,1286.48,1.59765,1,-2.519999999999982,56.27707152
1283.95,62.41966351,2,1286.52,0.78744511,1,-2.5699999999999363,61.6322184
1283.94,0.02,1,1286.59,2.29,1,-2.6499999999998636,-2.27
1283.92,17.71342688,2,1286.6,3.43506004,2,-2.6799999999998363,14.27836684
1283.89,2.96042887,2,1286.61,7.08,1,-2.7199999999998,-4.119571130000001
1283.88,7.20635121,3,1286.62,12.4459,1,-2.7399999999997817,-5.23954879
1283.7,0.001558,1,1286.63,4.65672197,1,-2.9300000000000637,-4.65516397
1283.68,3.34601375,1,1286.69,0.83808574,1,-3.009999999999991,2.50792801
1283.66,0.97,1,1286.74,24.16021775,1,-3.0799999999999272,-23.190217750000002
1283.65,4.46604233,2,1286.75,60.40054425,1,-3.099999999999909,-55.93450192
1283.61,29.9234228,7,1286.81,1.86268878,1,-3.2000000000000455,28.06073402
1283.6,94.9888,1,1286.82,4.65672197,1,-3.2200000000000273,90.33207802999999
1283.53,1.93937226,2,1286.99,5.62000003,2,-3.4600000000000364,-3.68062777
1283.52,7.28722609,2,1287.0,7.05,1,-3.480000000000018,0.23722609000000006
1283.51,0.01,1,1287.01,4.65672197,1,-3.5,-4.646721970000001
1283.5,0.05515467,1,1287.12,4.17485985,1,-3.619999999999891,-4.1197051799999995
1283.49,7.08,1,1287.14,3.1076352,1,-3.650000000000091,3.9723648000000003
1283.46,0.00096215,1,1287.15,4.26488455,1,-3.6900000000000546,-4.263922399999999
1283.45,1.78627368,1,1287.37,16.02576875,2,-3.9199999999998454,-14.23949507
1283.31,3.90742429,1,1287.38,31.136,1,-4.070000000000164,-27.22857571
1283.3,2.22255149,1,1287.39,7.04,1,-4.0900000000001455,-4.81744851
1283.29,4.4944448,1,1287.44,2.16514689,1,-4.150000000000091,2.32929791
1283.28,1.33309287,1,1287.45,6.21368884,1,-4.170000000000073,-4.88059597
1283.23,0.15492156,1,1287.46,1.62081956,1,-4.230000000000018,-1.465898
1283.22,4.0,1,1287.48,15.53422189,1,-4.259999999999991,-11.53422189
1283.21,0.01558589,1,1287.56,4.0,1,-4.349999999999909,-3.98441411
1283.2,1.8236745,1,1287.6,20.45461494,3,-4.399999999999864,-18.63094044
1283.1,7.08,1,1287.61,2.22255149,1,-4.509999999999991,4.85744851
1283.07,158.8352,1,1287.62,200.0,1,-4.5499999999999545,-41.164800000000014
1283.05,1.48170099,1,1287.84,1.47190638,2,-4.789999999999964,0.009794609999999926
1283.03,0.45238105,1,1287.85,0.3,1,-4.819999999999936,0.15238105000000002
1283.0,0.0013868,1,1287.87,62.3808,1,-4.869999999999891,-62.3794132
1282.94,3.29353704,1,1287.99,1.48170099,1,-5.0499999999999545,1.81183605
1282.92,1.67266689,1,1288.04,2.85166964,2,-5.119999999999891,-1.17900275
1282.91,1.32475877,1,1288.05,8.34971969,1,-5.139999999999873,-7.024960920000001
1282.86,67.03,1,1288.08,1.18417546,1,-5.220000000000027,65.84582454
1282.83,0.92658455,1,1288.32,1.07090882,1,-5.490000000000009,-0.14432427000000014
1282.8,2.29178,1,1288.33,1.8783305,1,-5.529999999999973,0.41344950000000025
1282.79,2.72471036,3,1288.34,2.3026195,1,-5.5499999999999545,0.42209085999999996
1282.71,7.08,1,1288.39,94.9888,1,-5.680000000000064,-87.9088
1282.7,0.00155922,1,1288.53,4.74506646,1,-5.829999999999927,-4.7435072400000005
1282.66,0.01559259,1,1288.54,0.03889688,1,-5.879999999999882,-0.023304290000000002
1282.65,8.87428031,2,1288.69,0.00155197,1,-6.039999999999964,8.87272834
1282.64,4.63808889,1,1288.73,1.57229695,1,-6.089999999999918,3.0657919399999995
1282.62,0.04969212,1,1288.74,1.81894355,1,-6.120000000000118,-1.76925143
1282.6,0.25640413,2,1288.78,4.40694189,1,-6.180000000000064,-4.15053776
1282.59,1.2629097,1,1288.86,4.72257528,1,-6.269999999999982,-3.4596655800000002
1282.55,0.07663986,1,1289.1,158.8352,1,-6.5499999999999545,-158.75856014
1282.53,4.23575099,1,1289.36,1.95844439,1,-6.829999999999927,2.2773065999999997
1282.48,1.79636937,1,1289.42,2.0,1,-6.940000000000055,-0.20363062999999992
1282.4,0.04007756,2,1289.63,10.43714962,1,-7.230000000000018,-10.39707206
1282.39,0.11673235,1,1289.64,1.06089208,1,-7.25,-0.9441597299999999
1282.32,113.2,2,1289.65,0.02281006,1,-7.330000000000155,113.17718994
1282.27,0.00079844,1,1289.66,4.01813106,2,-7.3900000000001,-4.01733262
1282.26,0.78334984,2,1289.67,0.01971108,1,-7.410000000000082,0.76363876
1282.25,0.07758476,1,1289.83,0.99612571,1,-7.579999999999927,-0.91854095
1282.22,0.01,1,1289.92,41.90995953,1,-7.7000000000000455,-41.899959530000004
1282.16,0.79067497,1,1290.0,7.03590772,2,-7.839999999999918,-6.2452327499999996
1282.0,0.02328783,2,1290.07,4.31927161,1,-8.069999999999936,-4.29598378
1281.97,0.0015,1,1290.14,3.90683338,1,-8.170000000000073,-3.90533338
1281.93,113.28,2,1290.16,1.15329853,1,-8.230000000000018,112.12670147
1281.91,1.74789333,1,1290.2,0.00155015,1,-8.289999999999964,1.74634318
1281.88,0.06268754,1,1290.46,1.19390845,1,-8.579999999999927,-1.13122091
1281.83,0.02034355,1,1290.79,2.16248485,1,-8.960000000000036,-2.1421412999999996
1281.73,0.03713563,1,1290.95,497.2736,1,-9.220000000000027,-497.23646436999996
1281.72,0.02418072,1,1290.97,68.17,1,-9.25,-68.14581928
1281.69,0.00156044,1,1291.52,10.0,1,-9.829999999999927,-9.99843956
1281.63,0.2,1,1291.58,12.52457954,1,-9.949999999999818,-12.32457954
1281.62,0.01248419,1,1291.59,1.74889389,1,-9.970000000000027,-1.7364097
1281.61,0.18,1,1291.6,1.53528621,1,-9.990000000000009,-1.35528621
1281.54,113.28,2,1291.69,11.81738969,1,-10.150000000000091,101.46261031
