time,average price,sum of size,volume
2023-08-26 14:15:00+00:00,26026.982414634145,3.34916134,410
2023-08-26 14:20:00+00:00,26019.53210106383,3.11628958,376
2023-08-26 14:25:00+00:00,26018.83753665689,3.15612448,341
2023-08-26 14:30:00+00:00,26031.395728395062,8.25765224,405
2023-08-26 14:35:00+00:00,26046.604051565377,16.51897379,543
2023-08-26 14:40:00+00:00,26044.144338235295,8.96343861,408
2023-08-26 14:45:00+00:00,26043.091461187214,6.3554382,438
2023-08-26 14:50:00+00:00,26047.822314814814,5.50937917,432
2023-08-26 14:55:00+00:00,26052.666469500924,13.82970194,541
2023-08-26 15:00:00+00:00,26053.65047835991,6.30893226,439
2023-08-26 15:05:00+00:00,26054.739917355375,14.63127915,484
2023-08-26 15:10:00+00:00,26051.890642398288,5.27232612,467
2023-08-26 15:15:00+00:00,26047.025013927578,2.81284378,359
2023-08-26 15:20:00+00:00,26052.23042606516,5.7986665,399
2023-08-26 15:25:00+00:00,26040.85944281525,2.94413578,341
2023-08-26 15:30:00+00:00,26047.803726027396,3.82366798,365
2023-08-26 15:35:00+00:00,26049.482408759122,4.84058224,411
2023-08-26 15:40:00+00:00,26044.959268292685,6.40652751,410
2023-08-26 15:45:00+00:00,26043.690175438598,5.60362743,456
2023-08-26 15:50:00+00:00,26044.95573809524,10.71992207,420
2023-08-26 15:55:00+00:00,26043.16788918206,4.19233013,379
2023-08-26 16:00:00+00:00,26048.193986784143,5.21059325,454
2023-08-26 16:05:00+00:00,26049.778096514747,2.83627055,373
2023-08-26 16:10:00+00:00,26043.572895277208,6.82125802,487
2023-08-26 16:15:00+00:00,26033.354929328623,10.27488001,566
2023-08-26 16:20:00+00:00,26030.03669631512,14.65939877,787
2023-08-26 16:25:00+00:00,26032.27146909828,20.55250376,987
2023-08-26 16:30:00+00:00,26028.665692454633,22.19509819,1047
2023-08-26 16:35:00+00:00,26027.83,22.40815059,1235
2023-08-26 16:40:00+00:00,26018.67439325843,24.77230751,890
2023-08-26 16:45:00+00:00,26014.330942472458,16.20940967,817
2023-08-26 16:50:00+00:00,26026.823260869565,20.53788508,920
2023-08-26 16:55:00+00:00,26033.66877734878,11.81599581,777
2023-08-26 17:00:00+00:00,26021.238627622377,19.79774856,1144
2023-08-26 17:05:00+00:00,26011.791277890465,30.46259387,986
2023-08-26 17:10:00+00:00,26018.506490727534,15.36112127,701
2023-08-26 17:15:00+00:00,26011.60383507853,13.23978212,764
2023-08-26 17:20:00+00:00,26011.00553816047,5.2553329,511
2023-08-26 17:25:00+00:00,26005.112104377105,8.20412259,594
2023-08-26 17:30:00+00:00,26007.84707724426,5.68855205,479
2023-08-26 17:35:00+00:00,26003.730786749486,6.55948446,483
2023-08-26 17:40:00+00:00,26007.334754990923,5.18976242,551
2023-08-26 17:45:00+00:00,26004.39160493827,3.77539769,486
2023-08-26 17:50:00+00:00,26005.600927419357,8.41842403,496
2023-08-26 17:55:00+00:00,26019.643402061858,7.56392346,485
2023-08-26 18:00:00+00:00,26015.248741418764,3.00756274,437
2023-08-26 18:05:00+00:00,26013.948696461823,4.56067055,537
2023-08-26 18:10:00+00:00,26007.982736625512,3.82058722,486
2023-08-26 18:15:00+00:00,26006.639785202864,4.70224063,419
